question,answer
Comment m'inscrire à l'IFOAD-UJKZ ?,"Rendez-vous sur le portail IFOAD-UJKZ, créez un compte avec une adresse e‑mail valide, puis complétez le formulaire d’inscription en téléversant vos pièces. Validez votre dossier et suivez son état dans votre espace."
Procédure pour comment m'inscrire à l'ifoad-ujkz ?,"Rendez-vous sur le portail IFOAD-UJKZ, créez un compte avec une adresse e‑mail valide, puis complétez le formulaire d’inscription en téléversant vos pièces. Validez votre dossier et suivez son état dans votre espace."
Quelles sont les étapes pour comment m'inscrire à l'ifoad-ujkz ?,"Rendez-vous sur le portail IFOAD-UJKZ, créez un compte avec une adresse e‑mail valide, puis complétez le formulaire d’inscription en téléversant vos pièces. Validez votre dossier et suivez son état dans votre espace."
"Je veux comment m'inscrire à l'ifoad-ujkz, comment faire ?","Rendez-vous sur le portail IFOAD-UJKZ, créez un compte avec une adresse e‑mail valide, puis complétez le formulaire d’inscription en téléversant vos pièces. Validez votre dossier et suivez son état dans votre espace."
"Aide : comment m'inscrire à l'ifoad-ujkz, s'il vous plaît. ?","Rendez-vous sur le portail IFOAD-UJKZ, créez un compte avec une adresse e‑mail valide, puis complétez le formulaire d’inscription en téléversant vos pièces. Validez votre dossier et suivez son état dans votre espace."
Comment procéder pour comment m'inscrire à l'ifoad-ujkz ?,"Rendez-vous sur le portail IFOAD-UJKZ, créez un compte avec une adresse e‑mail valide, puis complétez le formulaire d’inscription en téléversant vos pièces. Validez votre dossier et suivez son état dans votre espace."
Quelles pièces faut-il fournir pour l'inscription ?,"Pièce d’identité, photo d’identité, relevés/attestations selon le niveau, CV succinct et reçu des frais. Les listes exactes peuvent varier : vérifiez la page d’admission officielle."
Procédure pour quelles pièces faut-il fournir pour l'inscription ?,"Pièce d’identité, photo d’identité, relevés/attestations selon le niveau, CV succinct et reçu des frais. Les listes exactes peuvent varier : vérifiez la page d’admission officielle."
Quelles sont les étapes pour quelles pièces faut-il fournir pour l'inscription ?,"Pièce d’identité, photo d’identité, relevés/attestations selon le niveau, CV succinct et reçu des frais. Les listes exactes peuvent varier : vérifiez la page d’admission officielle."
"Je veux quelles pièces faut-il fournir pour l'inscription, comment faire ?","Pièce d’identité, photo d’identité, relevés/attestations selon le niveau, CV succinct et reçu des frais. Les listes exactes peuvent varier : vérifiez la page d’admission officielle."
"Aide : quelles pièces faut-il fournir pour l'inscription, s'il vous plaît. ?","Pièce d’identité, photo d’identité, relevés/attestations selon le niveau, CV succinct et reçu des frais. Les listes exactes peuvent varier : vérifiez la page d’admission officielle."
Comment procéder pour quelles pièces faut-il fournir pour l'inscription ?,"Pièce d’identité, photo d’identité, relevés/attestations selon le niveau, CV succinct et reçu des frais. Les listes exactes peuvent varier : vérifiez la page d’admission officielle."
Comment suivre l’état de mon dossier d’admission ?,"Connectez‑vous à votre espace candidat puis ouvrez l’onglet « Dossier ». Les statuts (reçu, incomplet, validé, en étude) s’affichent en temps réel."
Procédure pour comment suivre l’état de mon dossier d’admission ?,"Connectez‑vous à votre espace candidat puis ouvrez l’onglet « Dossier ». Les statuts (reçu, incomplet, validé, en étude) s’affichent en temps réel."
Quelles sont les étapes pour comment suivre l’état de mon dossier d’admission ?,"Connectez‑vous à votre espace candidat puis ouvrez l’onglet « Dossier ». Les statuts (reçu, incomplet, validé, en étude) s’affichent en temps réel."
"Je veux comment suivre l’état de mon dossier d’admission, comment faire ?","Connectez‑vous à votre espace candidat puis ouvrez l’onglet « Dossier ». Les statuts (reçu, incomplet, validé, en étude) s’affichent en temps réel."
"Aide : comment suivre l’état de mon dossier d’admission, s'il vous plaît. ?","Connectez‑vous à votre espace candidat puis ouvrez l’onglet « Dossier ». Les statuts (reçu, incomplet, validé, en étude) s’affichent en temps réel."
Comment procéder pour comment suivre l’état de mon dossier d’admission ?,"Connectez‑vous à votre espace candidat puis ouvrez l’onglet « Dossier ». Les statuts (reçu, incomplet, validé, en étude) s’affichent en temps réel."
Comment payer les frais d'inscription ?,"Depuis votre espace, générez l’avis de paiement puis réglez via les moyens indiqués (banque/compagnie partenaire, mobile money si disponible). Chargez ensuite le reçu dans le portail."
Procédure pour comment payer les frais d'inscription ?,"Depuis votre espace, générez l’avis de paiement puis réglez via les moyens indiqués (banque/compagnie partenaire, mobile money si disponible). Chargez ensuite le reçu dans le portail."
Quelles sont les étapes pour comment payer les frais d'inscription ?,"Depuis votre espace, générez l’avis de paiement puis réglez via les moyens indiqués (banque/compagnie partenaire, mobile money si disponible). Chargez ensuite le reçu dans le portail."
"Je veux comment payer les frais d'inscription, comment faire ?","Depuis votre espace, générez l’avis de paiement puis réglez via les moyens indiqués (banque/compagnie partenaire, mobile money si disponible). Chargez ensuite le reçu dans le portail."
"Aide : comment payer les frais d'inscription, s'il vous plaît. ?","Depuis votre espace, générez l’avis de paiement puis réglez via les moyens indiqués (banque/compagnie partenaire, mobile money si disponible). Chargez ensuite le reçu dans le portail."
Comment procéder pour comment payer les frais d'inscription ?,"Depuis votre espace, générez l’avis de paiement puis réglez via les moyens indiqués (banque/compagnie partenaire, mobile money si disponible). Chargez ensuite le reçu dans le portail."
Puis‑je payer en plusieurs tranches ?,Oui si la scolarité l’autorise pour votre formation. Consultez la note de la scolarité ou contactez‑les pour connaître les échéances et pénalités éventuelles.
Procédure pour puis‑je payer en plusieurs tranches ?,Oui si la scolarité l’autorise pour votre formation. Consultez la note de la scolarité ou contactez‑les pour connaître les échéances et pénalités éventuelles.
Quelles sont les étapes pour puis‑je payer en plusieurs tranches ?,Oui si la scolarité l’autorise pour votre formation. Consultez la note de la scolarité ou contactez‑les pour connaître les échéances et pénalités éventuelles.
"Je veux puis‑je payer en plusieurs tranches, comment faire ?",Oui si la scolarité l’autorise pour votre formation. Consultez la note de la scolarité ou contactez‑les pour connaître les échéances et pénalités éventuelles.
"Aide : puis‑je payer en plusieurs tranches, s'il vous plaît. ?",Oui si la scolarité l’autorise pour votre formation. Consultez la note de la scolarité ou contactez‑les pour connaître les échéances et pénalités éventuelles.
Comment procéder pour puis‑je payer en plusieurs tranches ?,Oui si la scolarité l’autorise pour votre formation. Consultez la note de la scolarité ou contactez‑les pour connaître les échéances et pénalités éventuelles.
Comment obtenir une bourse d’études ?,"Repérez les appels (État, IsDB, AUF, partenaires), préparez un dossier solide (relevés, lettres, projet), déposez dans les délais et suivez les résultats sur les sites officiels."
Procédure pour comment obtenir une bourse d’études ?,"Repérez les appels (État, IsDB, AUF, partenaires), préparez un dossier solide (relevés, lettres, projet), déposez dans les délais et suivez les résultats sur les sites officiels."
Quelles sont les étapes pour comment obtenir une bourse d’études ?,"Repérez les appels (État, IsDB, AUF, partenaires), préparez un dossier solide (relevés, lettres, projet), déposez dans les délais et suivez les résultats sur les sites officiels."
"Je veux comment obtenir une bourse d’études, comment faire ?","Repérez les appels (État, IsDB, AUF, partenaires), préparez un dossier solide (relevés, lettres, projet), déposez dans les délais et suivez les résultats sur les sites officiels."
"Aide : comment obtenir une bourse d’études, s'il vous plaît. ?","Repérez les appels (État, IsDB, AUF, partenaires), préparez un dossier solide (relevés, lettres, projet), déposez dans les délais et suivez les résultats sur les sites officiels."
Comment procéder pour comment obtenir une bourse d’études ?,"Repérez les appels (État, IsDB, AUF, partenaires), préparez un dossier solide (relevés, lettres, projet), déposez dans les délais et suivez les résultats sur les sites officiels."
Quelles sont les dates importantes du calendrier académique ?,"La rentrée, la période d’inscription, les évaluations et les examens sont publiés par la scolarité. Consultez régulièrement l’espace annonces et votre e‑mail institutionnel."
Procédure pour quelles sont les dates importantes du calendrier académique ?,"La rentrée, la période d’inscription, les évaluations et les examens sont publiés par la scolarité. Consultez régulièrement l’espace annonces et votre e‑mail institutionnel."
Quelles sont les étapes pour quelles sont les dates importantes du calendrier académique ?,"La rentrée, la période d’inscription, les évaluations et les examens sont publiés par la scolarité. Consultez régulièrement l’espace annonces et votre e‑mail institutionnel."
"Je veux quelles sont les dates importantes du calendrier académique, comment faire ?","La rentrée, la période d’inscription, les évaluations et les examens sont publiés par la scolarité. Consultez régulièrement l’espace annonces et votre e‑mail institutionnel."
"Aide : quelles sont les dates importantes du calendrier académique, s'il vous plaît. ?","La rentrée, la période d’inscription, les évaluations et les examens sont publiés par la scolarité. Consultez régulièrement l’espace annonces et votre e‑mail institutionnel."
Comment procéder pour quelles sont les dates importantes du calendrier académique ?,"La rentrée, la période d’inscription, les évaluations et les examens sont publiés par la scolarité. Consultez régulièrement l’espace annonces et votre e‑mail institutionnel."
Comment se déroulent les examens ?,"Les évaluations combinent contrôle continu et examens finaux. Les modalités (présentiel/distanciel, durée, barème) sont précisées par l’enseignant et le département."
Procédure pour comment se déroulent les examens ?,"Les évaluations combinent contrôle continu et examens finaux. Les modalités (présentiel/distanciel, durée, barème) sont précisées par l’enseignant et le département."
Quelles sont les étapes pour comment se déroulent les examens ?,"Les évaluations combinent contrôle continu et examens finaux. Les modalités (présentiel/distanciel, durée, barème) sont précisées par l’enseignant et le département."
"Je veux comment se déroulent les examens, comment faire ?","Les évaluations combinent contrôle continu et examens finaux. Les modalités (présentiel/distanciel, durée, barème) sont précisées par l’enseignant et le département."
"Aide : comment se déroulent les examens, s'il vous plaît. ?","Les évaluations combinent contrôle continu et examens finaux. Les modalités (présentiel/distanciel, durée, barème) sont précisées par l’enseignant et le département."
Comment procéder pour comment se déroulent les examens ?,"Les évaluations combinent contrôle continu et examens finaux. Les modalités (présentiel/distanciel, durée, barème) sont précisées par l’enseignant et le département."
Comment obtenir une attestation de scolarité ?,Faites la demande depuis votre espace étudiant ou au service scolarité. L’attestation est délivrée après vérification de votre inscription et de votre situation financière.
Procédure pour comment obtenir une attestation de scolarité ?,Faites la demande depuis votre espace étudiant ou au service scolarité. L’attestation est délivrée après vérification de votre inscription et de votre situation financière.
Quelles sont les étapes pour comment obtenir une attestation de scolarité ?,Faites la demande depuis votre espace étudiant ou au service scolarité. L’attestation est délivrée après vérification de votre inscription et de votre situation financière.
"Je veux comment obtenir une attestation de scolarité, comment faire ?",Faites la demande depuis votre espace étudiant ou au service scolarité. L’attestation est délivrée après vérification de votre inscription et de votre situation financière.
"Aide : comment obtenir une attestation de scolarité, s'il vous plaît. ?",Faites la demande depuis votre espace étudiant ou au service scolarité. L’attestation est délivrée après vérification de votre inscription et de votre situation financière.
Comment procéder pour comment obtenir une attestation de scolarité ?,Faites la demande depuis votre espace étudiant ou au service scolarité. L’attestation est délivrée après vérification de votre inscription et de votre situation financière.
Comment récupérer mes relevés de notes ?,Les relevés sont disponibles après délibération. Téléchargez-les dans votre espace étudiant ou retirez‑les au service scolarité selon la procédure en vigueur.
Procédure pour comment récupérer mes relevés de notes ?,Les relevés sont disponibles après délibération. Téléchargez-les dans votre espace étudiant ou retirez‑les au service scolarité selon la procédure en vigueur.
Quelles sont les étapes pour comment récupérer mes relevés de notes ?,Les relevés sont disponibles après délibération. Téléchargez-les dans votre espace étudiant ou retirez‑les au service scolarité selon la procédure en vigueur.
"Je veux comment récupérer mes relevés de notes, comment faire ?",Les relevés sont disponibles après délibération. Téléchargez-les dans votre espace étudiant ou retirez‑les au service scolarité selon la procédure en vigueur.
"Aide : comment récupérer mes relevés de notes, s'il vous plaît. ?",Les relevés sont disponibles après délibération. Téléchargez-les dans votre espace étudiant ou retirez‑les au service scolarité selon la procédure en vigueur.
Comment procéder pour comment récupérer mes relevés de notes ?,Les relevés sont disponibles après délibération. Téléchargez-les dans votre espace étudiant ou retirez‑les au service scolarité selon la procédure en vigueur.
Comment contacter la scolarité IFOAD‑UJKZ ?,Utilisez l’adresse et le numéro indiqués sur le portail IFOAD‑UJKZ (rubrique Contact). Privilégiez l’e‑mail institutionnel avec votre identifiant et l’objet précis de la demande.
Procédure pour comment contacter la scolarité ifoad‑ujkz ?,Utilisez l’adresse et le numéro indiqués sur le portail IFOAD‑UJKZ (rubrique Contact). Privilégiez l’e‑mail institutionnel avec votre identifiant et l’objet précis de la demande.
Quelles sont les étapes pour comment contacter la scolarité ifoad‑ujkz ?,Utilisez l’adresse et le numéro indiqués sur le portail IFOAD‑UJKZ (rubrique Contact). Privilégiez l’e‑mail institutionnel avec votre identifiant et l’objet précis de la demande.
"Je veux comment contacter la scolarité ifoad‑ujkz, comment faire ?",Utilisez l’adresse et le numéro indiqués sur le portail IFOAD‑UJKZ (rubrique Contact). Privilégiez l’e‑mail institutionnel avec votre identifiant et l’objet précis de la demande.
"Aide : comment contacter la scolarité ifoad‑ujkz, s'il vous plaît. ?",Utilisez l’adresse et le numéro indiqués sur le portail IFOAD‑UJKZ (rubrique Contact). Privilégiez l’e‑mail institutionnel avec votre identifiant et l’objet précis de la demande.
Comment procéder pour comment contacter la scolarité ifoad‑ujkz ?,Utilisez l’adresse et le numéro indiqués sur le portail IFOAD‑UJKZ (rubrique Contact). Privilégiez l’e‑mail institutionnel avec votre identifiant et l’objet précis de la demande.
Comment activer mon compte étudiant ?,"Après validation d’inscription, vous recevez un e‑mail d’activation. Cliquez le lien, définissez un mot de passe fort et connectez‑vous à l’espace étudiant."
Procédure pour comment activer mon compte étudiant ?,"Après validation d’inscription, vous recevez un e‑mail d’activation. Cliquez le lien, définissez un mot de passe fort et connectez‑vous à l’espace étudiant."
Quelles sont les étapes pour comment activer mon compte étudiant ?,"Après validation d’inscription, vous recevez un e‑mail d’activation. Cliquez le lien, définissez un mot de passe fort et connectez‑vous à l’espace étudiant."
"Je veux comment activer mon compte étudiant, comment faire ?","Après validation d’inscription, vous recevez un e‑mail d’activation. Cliquez le lien, définissez un mot de passe fort et connectez‑vous à l’espace étudiant."
"Aide : comment activer mon compte étudiant, s'il vous plaît. ?","Après validation d’inscription, vous recevez un e‑mail d’activation. Cliquez le lien, définissez un mot de passe fort et connectez‑vous à l’espace étudiant."
Comment procéder pour comment activer mon compte étudiant ?,"Après validation d’inscription, vous recevez un e‑mail d’activation. Cliquez le lien, définissez un mot de passe fort et connectez‑vous à l’espace étudiant."
"J’ai oublié mon mot de passe, que faire ?","Utilisez « Mot de passe oublié » sur la page de connexion, saisissez votre e‑mail puis suivez le lien de réinitialisation envoyé. Changez immédiatement le mot de passe."
"Procédure pour j’ai oublié mon mot de passe, que faire ?","Utilisez « Mot de passe oublié » sur la page de connexion, saisissez votre e‑mail puis suivez le lien de réinitialisation envoyé. Changez immédiatement le mot de passe."
"Quelles sont les étapes pour j’ai oublié mon mot de passe, que faire ?","Utilisez « Mot de passe oublié » sur la page de connexion, saisissez votre e‑mail puis suivez le lien de réinitialisation envoyé. Changez immédiatement le mot de passe."
"Je veux j’ai oublié mon mot de passe, que faire, comment faire ?","Utilisez « Mot de passe oublié » sur la page de connexion, saisissez votre e‑mail puis suivez le lien de réinitialisation envoyé. Changez immédiatement le mot de passe."
"Aide : j’ai oublié mon mot de passe, que faire, s'il vous plaît. ?","Utilisez « Mot de passe oublié » sur la page de connexion, saisissez votre e‑mail puis suivez le lien de réinitialisation envoyé. Changez immédiatement le mot de passe."
"Comment procéder pour j’ai oublié mon mot de passe, que faire ?","Utilisez « Mot de passe oublié » sur la page de connexion, saisissez votre e‑mail puis suivez le lien de réinitialisation envoyé. Changez immédiatement le mot de passe."
Je n’arrive pas à me connecter à la plateforme e‑learning. ?,"Vérifiez vos identifiants, la casse du mot de passe, puis testez un autre navigateur. Si le problème persiste, videz le cache ou contactez le support avec une capture d’écran."
Procédure pour je n’arrive pas à me connecter à la plateforme e‑learning ?,"Vérifiez vos identifiants, la casse du mot de passe, puis testez un autre navigateur. Si le problème persiste, videz le cache ou contactez le support avec une capture d’écran."
Quelles sont les étapes pour je n’arrive pas à me connecter à la plateforme e‑learning ?,"Vérifiez vos identifiants, la casse du mot de passe, puis testez un autre navigateur. Si le problème persiste, videz le cache ou contactez le support avec une capture d’écran."
"Je veux je n’arrive pas à me connecter à la plateforme e‑learning, comment faire ?","Vérifiez vos identifiants, la casse du mot de passe, puis testez un autre navigateur. Si le problème persiste, videz le cache ou contactez le support avec une capture d’écran."
"Aide : je n’arrive pas à me connecter à la plateforme e‑learning, s'il vous plaît. ?","Vérifiez vos identifiants, la casse du mot de passe, puis testez un autre navigateur. Si le problème persiste, videz le cache ou contactez le support avec une capture d’écran."
Comment procéder pour je n’arrive pas à me connecter à la plateforme e‑learning ?,"Vérifiez vos identifiants, la casse du mot de passe, puis testez un autre navigateur. Si le problème persiste, videz le cache ou contactez le support avec une capture d’écran."
Comment se connecter au Wi‑Fi du campus ?,"Recherchez le SSID officiel, sélectionnez‑le puis entrez vos identifiants étudiant. Acceptez les conditions d’usage. En cas d’échec, rapprochez‑vous du support TIC."
Procédure pour comment se connecter au wi‑fi du campus ?,"Recherchez le SSID officiel, sélectionnez‑le puis entrez vos identifiants étudiant. Acceptez les conditions d’usage. En cas d’échec, rapprochez‑vous du support TIC."
Quelles sont les étapes pour comment se connecter au wi‑fi du campus ?,"Recherchez le SSID officiel, sélectionnez‑le puis entrez vos identifiants étudiant. Acceptez les conditions d’usage. En cas d’échec, rapprochez‑vous du support TIC."
"Je veux comment se connecter au wi‑fi du campus, comment faire ?","Recherchez le SSID officiel, sélectionnez‑le puis entrez vos identifiants étudiant. Acceptez les conditions d’usage. En cas d’échec, rapprochez‑vous du support TIC."
"Aide : comment se connecter au wi‑fi du campus, s'il vous plaît. ?","Recherchez le SSID officiel, sélectionnez‑le puis entrez vos identifiants étudiant. Acceptez les conditions d’usage. En cas d’échec, rapprochez‑vous du support TIC."
Comment procéder pour comment se connecter au wi‑fi du campus ?,"Recherchez le SSID officiel, sélectionnez‑le puis entrez vos identifiants étudiant. Acceptez les conditions d’usage. En cas d’échec, rapprochez‑vous du support TIC."
"Le Wi‑Fi se déconnecte sans cesse, que faire ?","Oubliez le réseau puis reconnectez‑vous, mettez à jour vos pilotes, vérifiez l’heure du système et restez dans les zones de bonne couverture. Si besoin, ouvrez un ticket."
"Procédure pour le wi‑fi se déconnecte sans cesse, que faire ?","Oubliez le réseau puis reconnectez‑vous, mettez à jour vos pilotes, vérifiez l’heure du système et restez dans les zones de bonne couverture. Si besoin, ouvrez un ticket."
"Quelles sont les étapes pour le wi‑fi se déconnecte sans cesse, que faire ?","Oubliez le réseau puis reconnectez‑vous, mettez à jour vos pilotes, vérifiez l’heure du système et restez dans les zones de bonne couverture. Si besoin, ouvrez un ticket."
"Je veux le wi‑fi se déconnecte sans cesse, que faire, comment faire ?","Oubliez le réseau puis reconnectez‑vous, mettez à jour vos pilotes, vérifiez l’heure du système et restez dans les zones de bonne couverture. Si besoin, ouvrez un ticket."
"Aide : le wi‑fi se déconnecte sans cesse, que faire, s'il vous plaît. ?","Oubliez le réseau puis reconnectez‑vous, mettez à jour vos pilotes, vérifiez l’heure du système et restez dans les zones de bonne couverture. Si besoin, ouvrez un ticket."
"Comment procéder pour le wi‑fi se déconnecte sans cesse, que faire ?","Oubliez le réseau puis reconnectez‑vous, mettez à jour vos pilotes, vérifiez l’heure du système et restez dans les zones de bonne couverture. Si besoin, ouvrez un ticket."
Mot de passe Wi‑Fi oublié : comment le réinitialiser ?,Passez par le portail d’identité (ou helpdesk) pour réinitialiser votre mot de passe réseau. Utilisez un mot de passe fort et conservez‑le en lieu sûr.
Procédure pour mot de passe wi‑fi oublié : comment le réinitialiser ?,Passez par le portail d’identité (ou helpdesk) pour réinitialiser votre mot de passe réseau. Utilisez un mot de passe fort et conservez‑le en lieu sûr.
Quelles sont les étapes pour mot de passe wi‑fi oublié : comment le réinitialiser ?,Passez par le portail d’identité (ou helpdesk) pour réinitialiser votre mot de passe réseau. Utilisez un mot de passe fort et conservez‑le en lieu sûr.
"Je veux mot de passe wi‑fi oublié : comment le réinitialiser, comment faire ?",Passez par le portail d’identité (ou helpdesk) pour réinitialiser votre mot de passe réseau. Utilisez un mot de passe fort et conservez‑le en lieu sûr.
"Aide : mot de passe wi‑fi oublié : comment le réinitialiser, s'il vous plaît. ?",Passez par le portail d’identité (ou helpdesk) pour réinitialiser votre mot de passe réseau. Utilisez un mot de passe fort et conservez‑le en lieu sûr.
Comment procéder pour mot de passe wi‑fi oublié : comment le réinitialiser ?,Passez par le portail d’identité (ou helpdesk) pour réinitialiser votre mot de passe réseau. Utilisez un mot de passe fort et conservez‑le en lieu sûr.
Quels logiciels sont requis pour les cours ?,"Selon les UE : suite bureautique, navigateurs à jour, Python/Anaconda, R, VS Code, outils de data viz. Consultez chaque plan de cours pour la liste exacte."
